Anker,Bild-URL,Bild-URL 2,Strasse,Ort,Beschreibung,Blickrichtung,Position Laengengrad,Position Breitengrad
http://heilbronn.apps-1and1.net/allee,,,Allee,Heilbronn,Kapitel Allee,,"9,22208","49,14126"
http://heilbronn.apps-1and1.net/bahnhof,,,,Heilbronn,Kapitel Bahnhofsgegend,,"9,20892","49,14252"
http://heilbronn.apps-1and1.net/fleiner,,,Fleinerstr,Heilbronn,Kapitel Fleinerstrasse,,"9,21912","49,14084"
http://heilbronn.apps-1and1.net/kilianskirche,,,,Heilbronn,Kapitel Kilianskirche,,"9,21944","49,14171"
http://heilbronn.apps-1and1.net/kiliansplatz,,,Kiliansplatz,Heilbronn,Kapitel Kiliansplatz,,"9,21977","49,14129"
http://heilbronn.apps-1and1.net/marktplatz,,,Marktplatz,Heilbronn,Kapitel Marktplatz,,"9,21866","49,14225"
http://heilbronn.apps-1and1.net/neckarufer,,,,Heilbronn,Kapitel Neckarufer,,"9,21463","49,14123"
http://heilbronn.apps-1and1.net/kaiserstrasse,,,Kaiserstrasse,Heilbronn,Kapitel obere Kaiserstrasse,,"9,22113","49,14171"
http://heilbronn.apps-1and1.net/sulmerstrasse,,,Sülmerstr,Heilbronn,Kapitel Sülmerstrasse,,"9,22075","49,14350"
http://heilbronn.apps-1and1.net/untere-kaiserstrasse,,,Kaiserstrasse,Heilbronn,Kapitel untere Kaiserstrasse,,"9,21697","49,14221"